Name
SILVERSTREAM SOFTWARE INC
ACTIVE SOFTWARE INC
QUEST SOFTWARE INC
INTERWORLD CORP
HOTJOBS COM LTD
RED HAT INC
IXNET INC
MDCM HOLDINGS INC
NETSCOUT SYSTEMS INC
TUMBLEWEED COMMUNICATIONS CORP
DATALINK CORP
INTERACTIVE PICTURES CORP
MOVE INC
"LIFE QUOTES, INC."
COBALT GROUP INC
FAIRCHILD SEMICONDUCTOR INTERNATIONAL INC
PIVOTAL CORP
1 800 FLOWERS COM INC
MISSION CRITICAL SOFTWARE INC
ACCRUE SOFTWARE INC
DIGEX INC/DE
WATCHGUARD TECHNOLOGIES INC
N2H2 INC
VIRNETX HOLDING CORP
NETIQ CORP
NEXPRISE INC
QUOKKA SPORTS INC
DRUGSTORE COM INC
PERFICIENT INC
LIBERATE TECHNOLOGIES
NET2PHONE INC
TELELOGIC CONFIGURATION MANAGEMENT INC
FOCAL COMMUNICATIONS CORP
CREO INC
"J2 GLOBAL, INC."
INTERNET PATENTS CORP
TANNING TECHNOLOGY CORP
ALLSCRIPTS INC /IL
BE INC
"INFOSMART GROUP, INC."
LIVEWORLD INC
SCIENTIFIC LEARNING CORP
ENGAGE INC
MP3 COM INC
VOYAGER NET INC
GADZOOX NETWORKS INC
HOOVERS INC
ART TECHNOLOGY GROUP INC
GENENTECH INC
TROY GROUP INC
AUDIBLE INC
"ITA HOLDINGS, INC."
CYREN LTD.
NIC INC
TIBCO SOFTWARE INC
LQ CORP INC
INTERLIANT INC
COMMERCE ONE INC
ASK JEEVES INC
DIGITAL ISLAND INC
E LOAN INC
NFRONT INC
PRIMUS KNOWLEDGE SOLUTIONS INC
NETWORK PLUS CORP
SHOWCASE CORP /MN
ID SYSTEMS INC
STAMPS.COM INC
MEDIABISTRO INC.
US SEARCH CORP COM
PERSISTENCE SOFTWARE INC
JUNIPER NETWORKS INC
"MEETME, INC."
MAXUS TECHNOLOGY CORP
CYBERSOURCE CORP
SALON MEDIA GROUP INC
RAMP NETWORKS INC
ARIBA INC
SOFTWARE COM INC
EASYLINK SERVICES CORP
OVERTURE SERVICES INC
STREAMLINE COM INC
APPNET INC /DE/
STUDENT ADVANTAGE INC
CAREINSITE INC
LIQUENT INC
"UNWIRED PLANET, INC."
ONLINETRADINGINC COM CORP
DRKOOP COM INC
BACKWEB TECHNOLOGIES LTD
PANTRY INC
DITECH NETWORKS INC
HIGH SPEED ACCESS CORP
SOUNDVIEW TECHNOLOGY GROUP INC
F5 NETWORKS INC
NETWORK ACCESS SOLUTIONS CORP
"CYCLELOGIC, INC."
EDGAR ONLINE INC
ZIPLINK INC
INTERACT COMMERCE CORP
BROCADE COMMUNICATIONS SYSTEMS INC
AT PLAN INC
FASHIONMALL COM INC
ETOYS INC
REDBACK NETWORKS INC
NEXTERA ENTERPRISES INC
ONESOURCE INFORMATION SERVICES INC
NEXTCARD INC
SCIENT CORP
BIZNESSONLINE COM INC/DE
"THESTREET, INC."
CAREERBUILDER INC
TW TELECOM INC.
BANKRATE INC
COPPER MOUNTAIN NETWORKS INC
ADFORCE INC
NETOBJECTS INC
JMXI INC
LATITUDE COMMUNICATIONS INC
NORTHPOINT COMMUNICATIONS GROUP INC
FLYCAST COMMUNICATIONS CORP
SILKNET SOFTWARE INC
