,IPO name,Offer date,SIC,Ticker,Unit,Offer price,S1Link
223,Datalex PLC,20001020,7371,DLEX,1,11.5,
224,Synplicity Inc,20001012,7372,SYNP,1,8.0,
225,Asia Global Crossing Ltd,20001006,4813,AGCX,1,7.0,
226,Advanced Switching Communic,20001004,3661,ASCX,1,15.0,
227,Docent Inc,20000929,7372,DCNT,1,11.0,
228,University of Phoenix Online,20000927,8221,UOPX,1,14.0,
229,AvantGo Inc,20000926,7371,AVGO,1,12.0,
230,Cosine Communications Inc,20000925,7372,COSN,1,23.0,
231,Zengine Inc,20000921,7373,ZNGN,1,13.0,
232,INRANGE Technologies Corp,20000921,3663,INRG,1,16.0,
233,OmniSky Corp,20000920,4812,OMNY,1,12.0,
234,ViryaNet LTD,20000919,7372,VRYA,1,8.0,
235,ServiceWare Technologies Inc,20000825,7372,SVCW,1,7.0,
236,WJ Communications Inc,20000818,3663,WJCI,1,16.0,
237,Integrated Telecom Express Inc,20000817,3661,ITXI,1,18.0,
238,PeoplePC Inc,20000816,7375,PEOP,1,10.0,
239,O2Wireless Solutions Inc,20000816,7373,OTWO,1,12.0,
240,SynQuest Inc,20000814,7372,SYNQ,1,7.0,
241,Quintalinux Ltd,20000810,7375,QLNX,1,8.0,
242,Equinix Inc,20000810,4813,EQIX,1,12.0,
243,RadView Software Ltd,20000809,7372,RADV,1,10.0,
244,Evolve Software Inc,20000809,7372,EVLV,1,9.0,
245,Mind C.T.I. Ltd,20000808,7371,MNDO,1,10.0,
246,America Online Latin America,20000807,7375,AOLA,1,8.0,
247,ScreamingMedia Inc,20000802,7389,SCRM,1,12.0,
248,Resonate Inc,20000802,7372,RSNT,1,21.0,
249,iAsia Works Inc,20000802,7372,IAWK,1,13.0,
250,Floware Wireless Systems Ltd,20000801,4813,FLRE,1,13.0,
251,Convergent Group Corp,20000731,7371,CVGP,1,7.0,
252,Webex Communications Inc,20000727,7379,WEBX,1,14.0,
253,ValiCert Inc,20000727,7375,VLCT,1,10.0,
254,Mainspring Inc,20000727,7389,MSPR,1,12.0,
255,Lexent Inc,20000727,7385,LXNT,1,15.0,
256,Corvis Corp,20000727,3661,CORV,1,36.0,
257,Interland Inc,20000725,7389,ILND,1,12.0,
258,Blue Martini Software Inc,20000724,7372,BLUE,1,20.0,
259,Evoke Communications Inc,20000724,7375,EVOK,1,8.0,
260,Talarian Corp,20000720,7372,TALR,1,16.0,
261,Support.com Inc,20000718,7389,SPRT,1,14.0,
262,Network Engines Inc,20000713,3572,NENG,1,17.0,
263,I Many Inc,20000713,7389,IMNY,1,9.0,
264,Sohu.com Inc,20000712,7379,SOHU,1,13.0,
